year,month,day,USD_EUR_value,USD_EGP,EUR_EGP,cpi_rate,cpi_base_2010,RealInterestRate,InterestRate,XAU_Price,gdp_rate
1990,5,31,1,2.6892,2.2193612280267394,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,1,1,2.6892,2.2232142857142856,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,4,1,2.6967,2.216405029999178,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,5,1,2.6967,2.2125861503117816,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,6,1,2.6967,2.2158586688578468,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,7,1,2.6892,2.215886618325643,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,8,1,2.6892,2.2200941137620736,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,11,1,2.6967,2.221700444883836,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,12,1,2.6992,2.2133661336613364,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,13,1,2.7092,2.226678721130928,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,14,1,2.7092,2.2119529719137816,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,15,1,2.7092,2.2235718975705847,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,18,1,2.7167,2.2078017066233238,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,19,1,2.7067,2.192725210628646,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,20,1,2.7067,2.19949618072485,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,21,1,2.7067,2.1993174616072158,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,22,1,2.7192,2.207142857142857,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,25,1,2.7092,2.2022435376361567,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,26,1,2.7092,2.1936842105263157,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,27,1,2.7092,2.1857200484066155,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,28,1,2.7192,2.197510909972523,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,6,29,1,2.7192,2.1991103922361503,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,7,2,1,2.7192,2.181468110709988,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,7,3,1,2.7192,2.174316328162482,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
1990,7,4,1,2.7167,2.162805509115516,1.9824585725469688,19.1471871327422,1.06753529927366,3.0499938718206288,5718.74,5.66702915715834
